global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1914473032,Iceland Gull,ring-billed gull,ring-billed gulls,facilitation-mixed flocking,facilitation-mixed flocking,Ring-billed Gull,Ring-billed Gull,"Continuing. In flock with Ring-billed gulls on beach shore. Smaller, all white head, small bill, stout neck, light gray wings. Thank you Vikki Jones for this great find.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1877427772,Brant,"mallards, green-winged teal, mute swans","mallards, green winged teal, mute swans",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Green-winged Teal, Mute Swan","Mallard, Green-winged Teal, Mute Swan","In with mallards, green winged teal and mute swans. Small goose with black head, neck, bill, and breast with grayish sides and bright white rear. Continuing. Photo to come.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1926310028,Snow Bunting,northern harrier,northern harriers,co-occur,co-occur,Northern Harrier,Northern Harrier,Flying back and forth at the tree line on the north side of field west of Gotfredson. Two Northern Harriers were hunting in the same area.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1934233183,Greater Scaup,"lesser scaup, redhead, canvasback","redhead, canvasback, lesser scaup",facilitation-mixed flocking,facilitation-mixed flocking,"Lesser Scaup, Redhead, Canvasback","Lesser Scaup, Redhead, Canvasback","Estimated large mixed drift of ducks including Redhead, Canvasback Greater and Lesser Scaup.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1643580779,Trumpeter Swan,mute swan,mute swans,co-occur,co-occur,Mute Swan,Mute Swan,"all black bills, no yellow- group was separate from a couple of mute swans",1
URN:CornellLabOfOrnithology:EBIRD:OBS1898744858,Common Grackle,"red-wings, cowbirds","red-wings, cowbirds",facilitation-mixed flocking,facilitation-mixed flocking,"Red-winged Blackbird, Brown-headed Cowbird","Red-winged Blackbird, Brown-headed Cowbird","came in a mixed flock of red-wings, grackles and mostly cowbirds; definitely grackles with males with purplish head, yellow eyes, long tails",1
URN:CornellLabOfOrnithology:EBIRD:OBS1608959350,Long-tailed Duck,common goldeneye,common goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,"Continuing - Originally in a small strip of open water off of Karen Court Park with 23 Common Goldeneyes, but flew towards the island in the center of the lake where there is more open water.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1631589524,Red-winged Blackbird,starlings,starlings,facilitation-mixed flocking,facilitation-mixed flocking,European Starling,European Starling,With large flock of Starlings. Careful count,1
URN:CornellLabOfOrnithology:EBIRD:OBS1636615011,Lesser Scaup,redhead,redheads,co-occur,co-occur,Redhead,Redhead,"Scaup, with rather 'peaked in the rear' head shape. About 10% smaller than nearby Redheads",1
URN:CornellLabOfOrnithology:EBIRD:OBS1925808012,Bonaparte's Gull,rbgu,rbgu,co-occur,co-occur,Ring-billed Gull,Ring-billed Gull,This is a different individual than the BOGU that I noted yesterday which was a first winter gull. Small gull with black spot on head. Noticeable size difference with RBGU.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1877763109,Horned Lark,no species,no species,no interaction,no interaction,no species,no species,"Together at the tip, unmistakable. Pics tba",1
URN:CornellLabOfOrnithology:EBIRD:OBS2281113634,Red-shouldered Hawk,"crow, blue jay","crow, blue jay",mobbing,mobbing,"American Crow, Blue Jay","American Crow, Blue Jay",chase by a crow and blue jay,1
URN:CornellLabOfOrnithology:EBIRD:OBS1621434561,Eastern Bluebird,dark-eyed junco,juncos,facilitation-feeding,facilitation-feeding,Dark-eyed Junco,Dark-eyed Junco,Foraging along creek with Juncos,1
URN:CornellLabOfOrnithology:EBIRD:OBS1616410587,Lapland Longspur,"hola, snbu","hola, snbu",facilitation-mixed flocking,facilitation-mixed flocking,"Horned Lark, Snow Bunting","Horned Lark, Snow Bunting","Counted individually, mixed in with a flock of HOLA and a few SNBU. Known to be at this location. First of the year!",1
URN:CornellLabOfOrnithology:EBIRD:OBS1896136620,Redhead,mallards,mallards,facilitation-mixed flocking,co-occur,Mallard,Mallard,Keeping close to a pair of mallards,0
URN:CornellLabOfOrnithology:EBIRD:OBS1628290881,Brown-headed Cowbird,starlings,starlings,facilitation-mixed flocking,co-occur,European Starling,European Starling,Near barn with starlings. Pics.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1920186243,Great Black-backed Gull,"ring-billed, herring gulls","ring-billed, herring gulls",facilitation-mixed flocking,facilitation-mixed flocking,"Ring-billed Gull, American Herring Gull","Ring-billed Gull, American Herring Gull",A lone Great Black Backed Gull amongst 100's of Ring-billed and Herring gulls.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1613767961,Cackling Goose,cago,cago,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing bird associating with large CAGO flock.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1866397689,Bonaparte's Gull,gadwall,gadwall,co-occur,co-occur,Gadwall,Gadwall,Small gull with black patch behind eye and black wingtips. Circling and landing among Gadwall.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1636291449,Ring-billed Gull,crows,crows,co-occur,co-occur,American Crow,American Crow,Landed briefly by Platt Rd fluddle among crows.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1626234607,Lesser Black-backed Gull,herring gull,herring gulls,co-occur,co-occur,American Herring Gull,American Herring Gull,"Slightly smaller than Herring Gulls next to it, and with dark grey back, yellow legs. Please see photos.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1644014715,American Crow,red-tailed hawk,red-tailed hawk,co-occur,facilitation-distress calls,Red-tailed Hawk,Red-tailed Hawk,flew off together very vocally just before Red-tailed Hawk flew through,0
URN:CornellLabOfOrnithology:EBIRD:OBS1931255907,Tufted Titmouse,"slate colored junco, house finch","junco, house finch",facilitation-mixed flocking,facilitation-mixed flocking,"Dark-eyed Junco, House Finch","Dark-eyed Junco, House Finch","A spread out flock working its way Southward with individuals flying from tree to tree and on the ground along Kelly Creek for several minutes. Was able to count individual birds as the flock slowly moved along. About 20 birds including slate colored Junco, Tufted Titmouse, House Finch,",1
URN:CornellLabOfOrnithology:EBIRD:OBS1635958994,Common Loon,rngr,rngrs,co-occur,co-occur,Red-necked Grebe,Red-necked Grebe,Seen well with scopes. The two were traveling together. Much larger than the RNGRs with much larger bills.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1634427569,Lapland Longspur,horned lark,horned larks,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"Associating with a small group of Horned Larks. Sparrow-like bird with dark outline on auriculars, a hint of black on the upper breast, and white on the outer rectrices. Distinctive rattle-like call was heard multiple times.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1901217740,Short-eared Owl,northern harrier,northern harriers,aggression,aggression,Northern Harrier,Northern Harrier,"Continuing. Observed hunting fields, hunting/active flying observed from 9 and still continuing as I left at 10:00 AM. Brief conflict with Northern Harriers in field.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1897419301,Eastern Screech-Owl,chickadees,chickadees,mobbing,mobbing,Black-capped Chickadee,Black-capped Chickadee,Grey morph. Located by scolding chickadees,1
URN:CornellLabOfOrnithology:EBIRD:OBS1634080385,Common Merganser,greater scaup,greater scaups,facilitation-mixed flocking,facilitation-mixed flocking,Greater Scaup,Greater Scaup,"Arcadia lake, mixed in. With Greater Scaups. Mergansers are longer so it is hard to be sure.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1910981864,Snow Goose,canada goose,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing; white goose stands out among the Canada geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1879036464,Brant,mallard,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Continuing from Window on the Waterfront. Congregating with mallards.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1872801831,Black-chinned Hummingbird,chickadees,chickadees,aggression-potential competition,aggression,Black-capped Chickadee,Black-capped Chickadee,Continuing bird at expected location. Roosting over bird feeders and chasing chickadees.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1643046052,Wood Duck,geese,geese,co-occur,co-occur,Canada Goose,Canada Goose,Male wood duck swimming really close to the two geese. They don’t seem to be bothered by each other. Haven’t seen a wood duck since late summer or fall.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1911157759,House Finch,"pufi, agol","pufi, agol",facilitation-mixed flocking,facilitation-mixed flocking,"Purple Finch, American Goldfinch","Purple Finch, American Goldfinch","Most I’ve ever seen together, huge groups with a handful of PUFI and AGOL mixed in",1
URN:CornellLabOfOrnithology:EBIRD:OBS1866135751,Black Scoter,divers,divers,co-occur,facilitation-mixed flocking,diving duck sp.,diving duck sp.,Birds hanging out with other divers,0
URN:CornellLabOfOrnithology:EBIRD:OBS1613622761,Yellow-rumped Warbler,eastern bluebird,eastern bluebirds,co-occur,facilitation-mixed flocking,Eastern Bluebird,Eastern Bluebird,Excellent view - yellow wash on sides and yellow rump. Hanging with two eastern bluebirds,0
URN:CornellLabOfOrnithology:EBIRD:OBS1637200861,Common Grackle,rwbl,rwbl,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Quick stop in yard trees. Traveling with RWBL. Photo.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1923293450,Common Grackle,cowbirds,cowbirds,facilitation-feeding,facilitation-feeding,Brown-headed Cowbird,Brown-headed Cowbird,At the feeders with the cowbirds this morning.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1903216632,Surf Scoter,"redheads, scapus","redheads, scaup",facilitation-mixed flocking,facilitation-mixed flocking,"Redhead, scaup sp.","Redhead, scaup sp.",Continuing in raft of redheads and scaup. Same size as the redheads. Black duck with white cheek patch and erect tail feathers. Reported yesterday by T. Webb.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1904010593,Hooded Merganser,mallard,mallards,co-occur,facilitation-mixed flocking,Mallard,Mallard,One group of eight associating with the mallards,0
URN:CornellLabOfOrnithology:EBIRD:OBS1935149458,Brown-headed Cowbird,eust,eust,facilitation-mixed flocking,facilitation-mixed flocking,European Starling,European Starling,"Smaller bird than the EUST flock that it was with. Black body and legs, finch-like bill and brown head.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1925368636,Fox Sparrow,"juncos, tree sparrows","juncos, tree sparrows",facilitation-feeding,facilitation-feeding,"Dark-eyed Junco, American Tree Sparrow","Dark-eyed Junco, American Tree Sparrow",Feeding on the frozen river with Juncos and Tree Sparrows.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1921522796,Ross's Goose,"snow goose, canada","snow goose, canada",co-occur,co-occur,"Snow Goose, Canada Goose","Snow Goose, Canada Goose",Much smaller than snow goose alongside Canada.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1935429907,Redhead,greater scaup,greater scaup,facilitation-mixed flocking,facilitation-mixed flocking,Greater Scaup,Greater Scaup,Very large mixed raft with Redheads and Greater Scaup.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1640680794,Sandhill Crane,canada goose,canada geese,co-occur,co-occur,Canada Goose,Canada Goose,Standing on the ice with some Canada Geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1921753560,Tundra Swan,trumpeters,trumpeters,co-occur,facilitation-mixed flocking,Trumpeter Swan,Trumpeter Swan,Visual ID and vocal ID. Smaller than accompanying Trumpeters with more concave bill directly at the forehead with a more rounded head. The adults yellow spot on the upper mandible just below the eye was not visible due to distance and sun glare. There were a couple of diagnostic plaintive musical vocal honks given from within the group.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1618231591,Horned Lark,snow bunting,snow buntings,facilitation-mixed flocking,facilitation-mixed flocking,Snow Bunting,Snow Bunting,Probably more in a mixed flock with about an equal number of snow bunting’s,1
URN:CornellLabOfOrnithology:EBIRD:OBS1938124672,Bald Eagle,no species,crows,no interaction,commensalism-scavenge,no species,American Crow,All full adults. Out on the ice at least 100 yards from the shore. Near an open water area. Two stayed within several meters of each other on the ice for over an hour during my entire walk. The third skimmed the water several times. Landed again. And then flew off to the west. 6 crows were on the ice not far away for a while. Assuming there were some scraps from an eagle's meal. Picture is distant but shows their location on the ice.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1937522882,Lesser Scaup,greater,greater,facilitation-mixed flocking,facilitation-mixed flocking,Greater Scaup,Greater Scaup,Scaup with peaked head flocking with Greater.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1640249861,Lapland Longspur,snow bunting,snow buntings,facilitation-mixed flocking,facilitation-mixed flocking,Snow Bunting,Snow Bunting,With flock of Snow Buntings,1
URN:CornellLabOfOrnithology:EBIRD:OBS1618609235,Horned Lark,snbu,snbu,facilitation-mixed flocking,facilitation-mixed flocking,Snow Bunting,Snow Bunting,In the road and flying with SNBU in a field west of Gotfredson.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1636671077,Redhead,lesc,lesc,facilitation-mixed flocking,facilitation-mixed flocking,Lesser Scaup,Lesser Scaup,"Swimming with LESC in marina. Handsome male, first of the year!",1
URN:CornellLabOfOrnithology:EBIRD:OBS1638822653,Cackling Goose,canadian geese,canadian geese,co-occur,co-occur,Canada Goose,Canada Goose,"First saw from a distance on Jackson Hole Lake and thought for sure they were ducks, but couldn't ID due to lighting (looking into the sunshine). When we arrived close to them realized they were 2 Mallard sized geese, same black and white patterned as Canadian Geese. They were near, but not joining, 4 Canadian Geese, which made comparison easier. Their heads were much rounder than the flatter longer head of the Canadian, also had shorter stubby bills and their necks were only half the length of the Canadian's (6 inches vs. 12 inches).",1
URN:CornellLabOfOrnithology:EBIRD:OBS1881429771,Ruddy Duck,redhead,redhead,facilitation-mixed flocking,facilitation-mixed flocking,Redhead,Redhead,3 on Fountain pond mixed with flock of redhead,1
URN:CornellLabOfOrnithology:EBIRD:OBS1602498796,Brown-headed Cowbird,blackbirds,blackbirds,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Brown heads clearly visible amongst blackbirds clearly viewed in roadside tree.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1636889381,Boreal Chickadee,bcchs,bcchs,co-occur,facilitation-mixed flocking,Black-capped Chickadee,Black-capped Chickadee,"Continuing at bark butter applications; mostly at front feeders that offer more protection than the open back deck feeder area. Suspect these are the same BOCH that have been on the property since at least November 2022, on a daily basis. Occasionally, accompanied by a third, but general sightings of 1 or 2 together, at the same time, throughout the day. I’ve attempted to time their visits & it appears that they forage on the bark butter & peanut pieces for a few minutes, then disappear, only to return in approx. 30 minutes to an hour and begin feeding again. Usually accompany BCCHs. However, the property is now closed to any & all visitors. No Trespassing signs are posted in driveway. Given the few days of warm weather, & then freezing nights, the shoveled pathways I was attempting to maintain are now ice slicks & I cannot ensure any visitors’ safety (&, knowing of these hazardous conditions, and as owner of the property, I am legally liable for any injuries that could occur - I personally wear ice cleats when I venture outside). I’d like to thank everyone who stopped by to see the BOCHs - it was a pleasure.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1885758132,American Robin,cedar waxwing,cedar waxwings,facilitation-mixed flocking,facilitation-feeding,Cedar Waxwing,Cedar Waxwing,More robins and cedar waxwings than I can count in upper branches of trees with berries.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1878068597,Red Crossbill,white-winged,white winged,co-occur,facilitation-mixed flocking,White-winged Crossbill,White-winged Crossbill,"Heard their chet calls along with white winged, audio upload coming.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1605524848,Lesser Black-backed Gull,"sbag, herg",herg,co-occur,co-occur,"Slaty-backed Gull, American Herring Gull",American Herring Gull,"Viewed near potential SBAG, adult slightly smaller than nearby herg. Known roosting site",1
URN:CornellLabOfOrnithology:EBIRD:OBS1621187204,Black Scoter,"common mergs, goldeneyes","common mergs, goldeneyes",facilitation-mixed flocking,facilitation-mixed flocking,"Common Merganser, Common Goldeneye","Common Merganser, Common Goldeneye",Continuing with common mergs and goldeneyes,1
URN:CornellLabOfOrnithology:EBIRD:OBS1606835255,American Robin,cedar waxwing,cedar waxwings,facilitation-feeding,facilitation-feeding,Cedar Waxwing,Cedar Waxwing,Eating berries with the cedar waxwings,1
URN:CornellLabOfOrnithology:EBIRD:OBS1887393125,Cackling Goose,"mallard, canada goose","mallards, canada geese",facilitation-mixed flocking,co-occur,"Mallard, Canada Goose","Mallard, Canada Goose","Continuing. Smaller version of Canada Goose, with short neck and stubby bill. On ice sheet near mix of Mallards and Canada Geese.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1637386485,Brown-headed Cowbird,mixed flock,mixed flock,facilitation-mixed flocking,facilitation-mixed flocking,no species,no species,With mixed flock at the Nature Center feeders,1
URN:CornellLabOfOrnithology:EBIRD:OBS1926840065,Tundra Swan,trumpeter swan,trumpeter swans,facilitation-mixed flocking,facilitation-mixed flocking,Trumpeter Swan,Trumpeter Swan,"Single tundra swan mixed in with a large group of trumpeter swans. Younger individual, with grey feathers on the neck and head, as well as the “swooped” bill and more prominent eye characteristic of the species.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1933565578,Song Sparrow,no species,no species,no interaction,no interaction,no species,no species,Together along the first bridge,1
URN:CornellLabOfOrnithology:EBIRD:OBS1630922458,Common Grackle,rwbl,rwbl,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,At least. Along with the RWBL.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1891455793,American Black Duck,"mallard, canada goose","mallards, canada geese",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose","Mallard, Canada Goose",At least 2 seen with the Mallards & Canada Geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1621282827,Bald Eagle,goea,goea,facilitation-mixed flocking,facilitation-mixed flocking,Golden Eagle,Golden Eagle,Seen flying with GOEA.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1915696343,Yellow-rumped Warbler,mixed flock,mixed flock,facilitation-feeding,facilitation-mixed flocking,no species,no species,"Small bird with thin bill, yellow crown, rump, and below rhe shoulders, striped along the flanks, white tips on the outer corners of the tail. Foraging with mixed flock, both on the ground and in the trees. I was hoping for a pine Siskin when I got my first glance since I never got one last year. Oh, well!",0
URN:CornellLabOfOrnithology:EBIRD:OBS1630017093,Wood Duck,mallard,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Male wood duck hanging out with mallards. Smaller then mallards with fancy green crest.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632942698,Red-winged Blackbird,"eust, cogr, bhco","eust, cogr, bhco",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, Common Grackle, Brown-headed Cowbird","European Starling, Common Grackle, Brown-headed Cowbird","Mixed flock of EUST, RWBL, COGR, BHCO",1
URN:CornellLabOfOrnithology:EBIRD:OBS1917525758,Great Egret,cormorants,no species,co-occur,no interaction,Double-crested Cormorant,no species,All white herons on north side of road; west side of the spit of land that the cormorants are roosting on.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1916413099,Redhead,"mergansers, mallards","mergansers, mallards",co-occur,facilitation-mixed flocking,"Mallard, merganser","Mallard, merganser",Count is estimate; males and females swimming amongst mergansers and mallards,0
URN:CornellLabOfOrnithology:EBIRD:OBS1906599176,Sharp-shinned Hawk,house sparrow,house sparrows,co-occur,predation,House Sparrow,House Sparrow,"Continuing, flew through the yard and into the thicket by the river. The house Sparrows went silent. Small accipiter - blue jay size, long squared off banded tail. Hunts here very frequently.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1926803626,Snow Bunting,horned lark,horned lark,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,Numerous individuals mixed in among Horned Lark flock.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1642529530,Hooded Merganser,come,come,co-occur,co-occur,Common Merganser,Common Merganser,"Three males swimming together; reddish brown body, black head with large white patch, white breast with 2 vertical dark stripes, thin bill. Smaller than nearby COME",1
URN:CornellLabOfOrnithology:EBIRD:OBS1611977282,American Crow,hawk,hawk,co-occur,commensalism-scavenge,Red-tailed Hawk,Red-tailed Hawk,"heard it, i believe it was following the hawk for food",0
URN:CornellLabOfOrnithology:EBIRD:OBS1935345700,Sandhill Crane,geese,geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Very large flock of cranes with the geese.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1930032118,Lesser Scaup,grsc,grsc,co-occur,co-occur,Greater Scaup,Greater Scaup,"Angled head, purplish iridescence. Great light with GRSC nearby for comparison.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1918298356,Canvasback,other species,other species,facilitation-mixed flocking,facilitation-mixed flocking,no species,no species,Continuing here. Mixed among other species,1
URN:CornellLabOfOrnithology:EBIRD:OBS1628300139,Lesser Scaup,mall,mall,co-occur,co-occur,Mallard,Mallard,"Female. Chocolate brown head, black bill with white patch at base. Body darker brown on back and lighter on sides. Smaller than MALL around it.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1896029308,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,Predawn foraging under front feeders with MODOs,1
URN:CornellLabOfOrnithology:EBIRD:OBS1918215993,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"White, mixed in with flock of Canada Geese.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1879545632,Brant,"mallards, canada geese","mallards, canada geese",co-occur,co-occur,"Canada Goose, Mallard","Canada Goose, Mallard",Continuing. Small dark goose slightly larger than Mallards and smaller than nearby Canada Geese. North side of pier.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1865599301,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Small white goose with black on wings, flying with Canada geese",1
URN:CornellLabOfOrnithology:EBIRD:OBS1641751466,Red-winged Blackbird,"cowbirds, blackbirds","cowbirds, blackbirds",facilitation-mixed flocking,facilitation-mixed flocking,Brown-headed Cowbird,Brown-headed Cowbird,Mixed flock of cowbirds and blackbirds. Recognized by red-orange stripe on wing and distinctive calls.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1935047460,Iceland Gull,herg,herg,co-occur,co-occur,no species,no species,"Creamy pale subadult gull with light scalloping, pale wingtips, black bill tip, about the same size as nearby herg",1
URN:CornellLabOfOrnithology:EBIRD:OBS1905856015,Common Raven,american crows,american crows,aggression,mobbing,American Crow,American Crow,Loudly calling as it was chased by smaller American Crows also calling. Significant size difference and differentiated calls,0
URN:CornellLabOfOrnithology:EBIRD:OBS1899889777,Short-eared Owl,northern harrier,northern harrier,aggression,aggression,Northern Harrier,Northern Harrier,Buffy streaked owl with clear facial disk and dark eyes. Hunting field and briefly fought with Northern Harrier. Owl flew in front of our parked vehicle. Lots of close looks in the binoculars. Continuing at this location.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607846808,Ring-necked Duck,greater scaup,greater scaup,facilitation-mixed flocking,facilitation-mixed flocking,Greater Scaup,Greater Scaup,In with group of Greater Scaup. Ring on bill clearly visible.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1926888296,Hooded Merganser,cogo,cogo,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,Counted 15-20 with the COGO,1
URN:CornellLabOfOrnithology:EBIRD:OBS1918356168,Greater White-fronted Goose,cang,cang,co-occur,co-occur,Canada Goose,Canada Goose,"Orange bills, white faces. Brownish overall, smaller than adjacent CANG.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1598839776,American Wigeon,black ducks,black ducks,facilitation-mixed flocking,facilitation-mixed flocking,American Black Duck,American Black Duck,"Mixed in with Black Ducks near toll booth, on lake where Osprey nest",1
URN:CornellLabOfOrnithology:EBIRD:OBS1937358859,Green-winged Teal,mallards,mallards,co-occur,co-occur,Mallard,Mallard,"2 male 1 female. Swimming next to a flock of mallards. Small duck, brown head with green eye swatch.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1873092061,Common Loon,gulls,gulls,co-occur,co-occur,gull,gull,Lone bird way out fishing by gulls.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1895105996,Brown-headed Cowbird,starlings,starlings,co-occur,facilitation-mixed flocking,European Starling,European Starling,Black bodies with brown heads. In with starlings.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1633635792,American Black Duck,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"I was happy to see these, been a while and reminded me of Maryland. Two birds associated with mallards in Lake area along entrance drive.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1925991190,Fox Sparrow,tree sparrow,tree sparrow,facilitation-feeding,facilitation-feeding,American Tree Sparrow,American Tree Sparrow,Feeding in the road with tree sparrow,1
URN:CornellLabOfOrnithology:EBIRD:OBS1895177096,Snow Goose,canadian geese,canadian geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing east side of road. Flew off with Canadian geese.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1869649572,Short-eared Owl,amcr,amcr,mobbing,mobbing,American Crow,American Crow,"Unexpected, especially as they were flying over the lake. Mobbed by a flock of ~40 AMCR at around 7:35. Rounded, tannish wings evident in flight with well-patterned underwings. Accompanied by a second a few minutes later, where they tangled in flight and disappeared soon after.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1915485338,Purple Finch,house sparrows,house sparrows,facilitation-mixed flocking,facilitation-mixed flocking,House Sparrow,House Sparrow,"At least 4 females and 1 male clearly seen, but likely more. Mixed together with larger flock of House Sparrows.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1644644833,Gadwall,eagle,eagle,amensalism,amensalism,Bald Eagle,Bald Eagle,Good look at close range when all were flushed by an eagle,1
URN:CornellLabOfOrnithology:EBIRD:OBS1927538182,American Robin,starlings,starlings,facilitation-mixed flocking,facilitation-mixed flocking,European Starling,European Starling,Flew into next door neighbor’s trees along with 2 Starlings. Fourth time for Robins in the yard area since the first of the year.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1601772301,Gadwall,no species,no species,no interaction,no interaction,no species,no species,All in view at the same time in the west cove.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1864808014,Tundra Swan,trumpeters,trumpeters,facilitation-mixed flocking,facilitation-mixed flocking,Trumpeter Swan,Trumpeter Swan,"Proportional estimate, in a big mixed flock with trumpeters in a picked corn field. Species separated by relative size, pattern and shape of bill/face/eye, and presence of yellow lore on some of the tundras.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1624728969,Bald Eagle,mallards,mallards,co-occur,co-occur,Mallard,Mallard,"Adult perched in tree, over looking Mallards",1
URN:CornellLabOfOrnithology:EBIRD:OBS1871750281,American Pipit,snow buntings,snow buntings,facilitation-feeding,facilitation-feeding,Snow Bunting,Snow Bunting,Late. Foraging alongside Snow Buntings.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1919320143,Horned Lark,snow buntings,snow buntings,facilitation-feeding,facilitation-mixed flocking,Snow Bunting,Snow Bunting,"mixed in flock of snow buntings, in field",0
URN:CornellLabOfOrnithology:EBIRD:OBS1917500847,Snow Goose,cang,cang,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,"White morph, swimming with larger CANG. Distant photo attached.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1918069287,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,"Foraging w/MODOs…congenially congregating, no displacements - daily morning routine",1
