species1_common,species2_common,multispecies,interaction,uncertain_descriptio,global_unique_identifier,uncertain_description,common_name,species_comments
Hooded Merganser,Mallard,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1904010593,,Hooded Merganser,One group of eight associating with the mallards
Brown-headed Cowbird,EUST,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1935149458,,Brown-headed Cowbird,"Smaller bird than the EUST flock that it was with.  Black body and legs, finch-like bill and brown head."
Fox Sparrow,"Juncos, Tree Sparrows",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1925368636,,Fox Sparrow,Feeding on the frozen river with Juncos and Tree Sparrows.
Ross's Goose,"snow goose, Canada",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1921522796,,Ross's Goose,Much smaller than snow goose alongside Canada.
Redhead,Greater Scaup,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1935429907,,Redhead,Very large mixed raft with Redheads and Greater Scaup.
Sandhill Crane,Canada Goose,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1640680794,,Sandhill Crane,Standing on the ice with some Canada Geese
Tundra Swan,Trumpeters,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1921753560,,Tundra Swan,Visual ID and vocal ID. Smaller than accompanying Trumpeters with more concave bill directly at the forehead with a more rounded head. The adults yellow spot on the upper mandible just below the eye was not visible due to distance and sun glare. There were a couple of diagnostic plaintive musical vocal honks given from within the group.
Horned Lark,Snow Bunting,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1618231591,,Horned Lark,Probably more in a mixed flock with about an equal number of snow bunting’s
Bald Eagle,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1938124672,,Bald Eagle,All full adults. Out on the ice at least 100 yards from the shore.  Near an open water area.  Two stayed within several meters of each other on the ice for over an hour during my entire walk.  The third skimmed the water several times. Landed again.  And then flew off to the west.  6 crows were on the ice not far away for a while.  Assuming there were some scraps from an eagle's meal.  Picture is distant but shows their location on the ice.
Lesser Scaup,Greater,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1937522882,,Lesser Scaup,Scaup with peaked head flocking with Greater.
Lapland Longspur,Snow Bunting,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1640249861,,Lapland Longspur,With flock of Snow Buntings
Horned Lark,SNBU,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1618609235,,Horned Lark,In the road and flying with SNBU in a field west of Gotfredson.
Redhead,LESC,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636671077,,Redhead,"Swimming with LESC in marina. Handsome male, first of the year!"
Cackling Goose,Canadian Geese,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1638822653,,Cackling Goose,"First saw from a distance on Jackson Hole Lake and thought for sure they were ducks, but couldn't ID due to lighting (looking into the sunshine).  When we arrived close to them realized they were 2 Mallard sized geese, same black and white patterned as Canadian Geese. They were near, but not joining, 4 Canadian Geese, which made comparison easier.  Their heads were much rounder than the flatter longer head of the Canadian, also had shorter stubby bills and their necks were only half the length of the Canadian's (6 inches vs. 12 inches)."
Ruddy Duck,Redhead,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1881429771,,Ruddy Duck,3 on Fountain pond mixed with flock of redhead
Brown-headed Cowbird,blackbirds,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1602498796,,Brown-headed Cowbird,Brown heads clearly visible amongst blackbirds clearly viewed in roadside tree.
Boreal Chickadee,BCCHs,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1636889381,,Boreal Chickadee,"Continuing at bark butter applications; mostly at front feeders that offer more protection than the open back deck feeder area.   Suspect these are the same BOCH that have been on the property since at least November 2022, on a daily basis.  Occasionally, accompanied by a third, but general sightings of 1 or 2 together, at the same time, throughout the day.  I’ve attempted to time their visits & it appears that they forage on the bark butter & peanut pieces for a few minutes, then disappear, only to return in approx. 30 minutes to an hour and begin feeding again.  Usually accompany BCCHs.  However, the property is now closed to any & all visitors.  No Trespassing signs are posted in driveway.  Given the few days of warm weather, & then freezing nights, the shoveled pathways I was attempting to maintain are now ice slicks & I cannot ensure any visitors’ safety (&, knowing of these hazardous conditions, and as owner of the property, I am legally liable for any injuries that could occur - I personally wear ice cleats when I venture outside).   I’d like to thank everyone who stopped by to see the BOCHs - it was a pleasure."
American Robin,Cedar Waxwing,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1885758132,,American Robin,More robins and cedar waxwings than I can count in upper branches of trees with berries.
Red Crossbill,white-winged,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1878068597,TRUE,Red Crossbill,"Heard their chet calls along with white winged, audio upload coming."
Lesser Black-backed Gull,"SBAG, HERG",,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1605524848,TRUE,Lesser Black-backed Gull,"Viewed near potential SBAG, adult slightly smaller than nearby herg. Known roosting site"
Black Scoter,"common mergs, goldeneyes",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1621187204,,Black Scoter,Continuing with common mergs and goldeneyes
American Robin,Cedar Waxwing,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1606835255,,American Robin,Eating berries with the cedar waxwings
Cackling Goose,"Mallard, Canada Goose",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1887393125,,Cackling Goose,"Continuing. Smaller version of Canada Goose, with short neck and stubby bill. On ice sheet near mix of Mallards and Canada Geese."
Brown-headed Cowbird,mixed flock,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1637386485,,Brown-headed Cowbird,With mixed flock at the Nature Center feeders
Tundra Swan,Trumpeter Swan,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1926840065,,Tundra Swan,"Single tundra swan mixed in with a large group of trumpeter swans. Younger individual, with grey feathers on the neck and head, as well as the “swooped” bill and more prominent eye characteristic of the species."
Song Sparrow,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1933565578,,Song Sparrow,Together along the first bridge
Common Grackle,RWBL,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1630922458,,Common Grackle,At least. Along with the RWBL.
American Black Duck,"Mallard, Canada Goose",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1891455793,,American Black Duck,At least 2 seen with the Mallards & Canada Geese
Bald Eagle,GOEA,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1621282827,,Bald Eagle,Seen flying with GOEA.
Yellow-rumped Warbler,mixed flock,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1915696343,,Yellow-rumped Warbler,"Small bird with thin bill, yellow crown, rump, and below rhe shoulders, striped along the flanks, white tips on the outer corners of the tail. Foraging with mixed flock, both on the ground and in the trees. I was hoping for a pine Siskin when I got my first glance since I never got one last year. Oh, well!"
Wood Duck,Mallard,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1630017093,,Wood Duck,Male wood duck hanging out with mallards. Smaller then mallards with fancy green crest.
Red-winged Blackbird,"EUST, COGR, BHCO",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1632942698,,Red-winged Blackbird,"Mixed flock of EUST, RWBL, COGR, BHCO"
Great Egret,cormorants,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1917525758,,Great Egret,All white herons on north side of road; west side of the spit of land that the cormorants are roosting on.
Redhead,"mergansers, mallards",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1916413099,,Redhead,Count is estimate; males and females swimming amongst mergansers and mallards
Sharp-shinned Hawk,House Sparrow,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1906599176,,Sharp-shinned Hawk,"Continuing, flew through the yard and into the thicket by the river. The house Sparrows went silent. Small accipiter - blue jay size, long squared off banded tail. Hunts here very frequently."
Snow Bunting,Horned Lark,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1926803626,,Snow Bunting,Numerous individuals mixed in among Horned Lark flock.
Hooded Merganser,COME,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1642529530,,Hooded Merganser,"Three males swimming together; reddish brown body, black head with large white patch, white breast with 2 vertical dark stripes, thin bill.  Smaller than nearby COME"
American Crow,hawk,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1611977282,,American Crow,"heard it, i believe it was following the hawk for food"
Sandhill Crane,geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1935345700,,Sandhill Crane,Very large flock of cranes with the geese.
Lesser Scaup,GRSC,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1930032118,,Lesser Scaup,"Angled head, purplish iridescence. Great light with GRSC nearby for comparison."
Canvasback,other species,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1918298356,,Canvasback,Continuing here. Mixed among other species
Lesser Scaup,MALL,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1628300139,,Lesser Scaup,"Female. Chocolate brown head, black bill with white patch at base. Body darker brown on back and lighter on sides. Smaller than MALL around it."
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1896029308,,Ruffed Grouse,Predawn foraging under front feeders with MODOs
Snow Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1918215993,,Snow Goose,"White, mixed in with flock of Canada Geese."
Brant,"Mallards, Canada Geese",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1879545632,,Brant,Continuing. Small dark goose slightly larger than Mallards and smaller than nearby Canada Geese. North side of pier.
Snow Goose,Canada geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1865599301,,Snow Goose,"Small white goose with black on wings, flying with Canada geese"
Red-winged Blackbird,"cowbirds, blackbirds",,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1641751466,,Red-winged Blackbird,Mixed flock of cowbirds and blackbirds. Recognized by red-orange stripe on wing and distinctive calls.
Iceland Gull,herg,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1935047460,,Iceland Gull,"Creamy pale subadult gull with light scalloping, pale wingtips, black bill tip, about the same size as nearby herg"
Common Raven,American Crows,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1905856015,,Common Raven,Loudly calling as it was chased by smaller American Crows also calling.  Significant size difference and differentiated calls
Short-eared Owl,Northern Harrier,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1899889777,,Short-eared Owl,Buffy streaked owl with clear facial disk and dark eyes. Hunting field and briefly fought with Northern Harrier. Owl flew in front of our parked vehicle. Lots of close looks in the binoculars. Continuing at this location.
Ring-necked Duck,Greater Scaup,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607846808,,Ring-necked Duck,In with group of Greater Scaup. Ring on bill clearly visible.
Hooded Merganser,COGO,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1926888296,,Hooded Merganser,Counted 15-20 with the COGO
Greater White-fronted Goose,CANG,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1918356168,,Greater White-fronted Goose,"Orange bills, white faces. Brownish overall, smaller than adjacent CANG."
American Wigeon,Black Ducks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1598839776,,American Wigeon,"Mixed in with Black Ducks near toll booth, on lake where Osprey nest"
Green-winged Teal,mallards,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1937358859,,Green-winged Teal,"2 male 1 female. Swimming next to a flock of mallards. Small duck, brown head with green eye swatch."
Common Loon,gulls,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1873092061,,Common Loon,Lone bird way out fishing by gulls.
Brown-headed Cowbird,starlings,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1895105996,,Brown-headed Cowbird,Black bodies with brown heads. In with starlings.
American Black Duck,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1633635792,,American Black Duck,"I was happy to see these, been a while and reminded me of Maryland.  Two birds associated with mallards in Lake area along entrance drive."
Fox Sparrow,tree sparrow,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1925991190,,Fox Sparrow,Feeding in the road with tree sparrow
Snow Goose,Canadian geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1895177096,,Snow Goose,Continuing  east side of road. Flew off with Canadian  geese.
Short-eared Owl,AMCR,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1869649572,,Short-eared Owl,"Unexpected, especially as they were flying over the lake. Mobbed by a flock of ~40 AMCR at around 7:35. Rounded, tannish wings evident in flight with well-patterned underwings. Accompanied by a second a few minutes later, where they tangled in flight and disappeared soon after."
Purple Finch,House Sparrows,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1915485338,,Purple Finch,"At least 4 females and 1 male clearly seen, but likely more. Mixed together with larger flock of House Sparrows."
Gadwall,eagle,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1644644833,,Gadwall,Good look at close range when all were flushed by an eagle
American Robin,Starlings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1927538182,,American Robin,Flew into next door neighbor’s trees along with 2 Starlings. Fourth time for Robins in the yard area since the first of the year.
Gadwall,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1601772301,,Gadwall,All in view at the same time in the west cove.
Tundra Swan,trumpeters,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1864808014,,Tundra Swan,"Proportional estimate, in a big mixed flock with trumpeters in a picked corn field. Species separated by relative size, pattern and shape of bill/face/eye, and presence of yellow lore on some of the tundras."
Bald Eagle,Mallards,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1624728969,,Bald Eagle,"Adult perched in tree, over looking Mallards"
American Pipit,Snow Buntings,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1871750281,,American Pipit,Late. Foraging alongside Snow Buntings.
Horned Lark,snow buntings,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1919320143,,Horned Lark,"mixed in flock of snow buntings, in field"
Snow Goose,CANG,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1917500847,,Snow Goose,"White morph, swimming with larger CANG. Distant photo attached."
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1918069287,,Ruffed Grouse,"Foraging w/MODOs…congenially congregating, no displacements - daily morning routine"
Song Sparrow,tree Sparrows,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1633952606,,Song Sparrow,"Continuing here regularly all winter, usually at first light with the tree Sparrows. Striped breast central dark spot"
Bonaparte's Gull,"Canada Geese, Ring-billed Gulls, Hering",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1916304722,,Bonaparte's Gull,"Swimming around large group of Canada Geese at the very back of the marsh - very small gull, smaller than Hering and Ring-billed Gulls also present, small black bill, black ear spot. These gulls have been reported in this location by other birders in recent days."
American Wigeon,"mallards, black ducks",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1594192540,,American Wigeon,"Male swimming with mallards and black ducks. Clear green eye marks and white forehead, white rump."
American Wigeon,ducks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1600526581,,American Wigeon,"in with raft of ducks. male, distinctive head plainly visible. Noted by another birder the same day."
Red-shouldered Hawk,"Hairy, Downy woodpecker",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1890890761,,Red-shouldered Hawk,The hawk was in my cedars by observing a Hairy and Downy woodpecker. They did not move from my suet feeders for more than 20 to thirty minutes. Then I saw it sitting and eating in the redbud tree
Trumpeter Swan,tundra swans,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1883363063,,Trumpeter Swan,"2 mixed in among the tundra swans, continuing from another birder's observation yesterday. These individuals are  more stout than the Tundra Swans. Dusky reddish hue to head, eye is less prominent than on tundras, no yellow on bill present and border between bill and face is straighter."
Eastern Towhee,Cardinals,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1930009876,,Eastern Towhee,"This is a mature female who has been seen quite often this winter. Feeding on the ground under the hanging feeders or on the ground under a nearby mature spruce tree. Never comes alone, frequently in the company of Cardinals."
Common Raven,AMCR,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1641228612,,Common Raven,"Heard calling while checking power line outage. A deep crackled “craw” came from a ways to the northwest and just after a scolding high pitched “caw caw” from that same vicinity. The deep call came from a CORA, which I’ve heard many times, the higher pitched was an AMCR."
Red-breasted Nuthatch,white-breasted nuthatch,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1633313719,,Red-breasted Nuthatch,"Small female nuthatch in tree with muted reddish breast, bluish back and wings, black stripe across the eye. Smaller than the nearby white-breasted nuthatch."
Red-winged Blackbird,mixed flick,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1639629614,,Red-winged Blackbird,Mixed flicks in the area
Lesser Yellowlegs,greater yellowlegs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1867063722,,Lesser Yellowlegs,Side by side with greater yellowlegs
Cackling Goose,Canada,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912694405,,Cackling Goose,Will add photos. Tiny geese overhead w Canada’s
American Tree Sparrow,"cardinals, juncos",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1918329250,,American Tree Sparrow,"western edge of prairie, edge of swapmp, with cardinals and juncos"
Ring-necked Duck,Redheads,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636291442,,Ring-necked Duck,"Flagged as high count. On the large pond by the recycling center, with Redheads. Flock moved frequently, flying from one end of the pond to the other, and a couple times circling over the pond in scattered groups for several minutes. Counted birds individually. Photos."
Short-eared Owl,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1888380182,,Short-eared Owl,"Continuing, seen at the same time"
Bonaparte's Gull,gulls,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1938602749,,Bonaparte's Gull,"Flew south with a flock of gulls.  Noted the ear patch and weak ""M"" marking on back."
Red-breasted Merganser,Hooded Mergansers,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1898671092,,Red-breasted Merganser,"In with flock of Hooded Mergansers - larger, log thin bill, head dark with shaggy bad hair day crest, male - dark reddish breast, females - grayish breast, no white on throat like Common Merganser"
Brant,Canada Geese,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1867555568,,Brant,"Continuing, foraging far out on shore with Canada Geese, north of the pier."
Golden-crowned Kinglet,"chickadee, titmice",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607945963,,Golden-crowned Kinglet,Originally picked up by Merlin and then seen moving with chickadee and titmice in tree canopy.
Trumpeter Swan,mute swans,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1594369115,,Trumpeter Swan,"Similar in size to the mute swans, it was associating with, larger than the tundra. Straight black bill."
Brant,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1916424339,,Brant,Lone bird beyond pond nearest Haslett Road.  A 'where’s Waldo' challenge in the midst of many Canada Geese.  Continuing. Grainy high ISO pictures below.
Red-winged Blackbird,grackles,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1632359999,,Red-winged Blackbird,Flew in to mat feeder on deck with three grackles. Black birds with red and yellow wing bars
American Black Duck,Mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1915711304,,American Black Duck,Larger numbers mixed withs Mallards on ice and in open water.
Snow Goose,Canada geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1872736571,,Snow Goose,"Hanging out with Canada geese. Black wingtips, grin visible."
Red-necked Grebe,HOGR,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1892271405,,Red-necked Grebe,"Continuing.  Large Grebe with white cheek, black cap and long yellow bill.  Easy comparison with nearby HOGR."
Red-tailed Hawk,crows,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1638002397,,Red-tailed Hawk,Four crows were chasing this red-tailed hawk over the west woods.
Hairy Woodpecker,Downy,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1881474383,,Hairy Woodpecker,Male In tree near Downy which really showed size difference
Red-headed Woodpecker,RBWO,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1923414206,,Red-headed Woodpecker,Both flew to the same tree along with the RBWO.
Brant,Mallards,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1880373534,,Brant,"Seen well - pictures to follow.  Goose larger than the Mallards that it was foraging with - all dark head--and neck with defined separation between gray/brown back, white under tail coverts.  Continuing."
Red-breasted Merganser,"Common, Hooded Mergansers",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636631196,,Red-breasted Merganser,Continuing. With Common and Hooded Mergansers. Photos.
White-crowned Sparrow,house sparrows,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611580585,,White-crowned Sparrow,Continuing immature under feeder with house sparrows.
Sharp-shinned Hawk,Tufted Titmouse,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1628306871,,Sharp-shinned Hawk,Small accipiter with hood; successfully hunted a Tufted Titmouse.
Lesser Scaup,Mallard,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1633639403,,Lesser Scaup,"1 adult female observed near Mallards in the large pond at the park. Seemed to be alone (only one if it’s kind). Much smaller than the Mallards surrounding her. Was attempting to dive in the pond. Had gray bill with white base. Had yellow/orange eyes, brown head and chest with buffy brown/ gray body. Pictures will be added soon."
Greater White-fronted Goose,Canadas,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1598057970,,Greater White-fronted Goose,"Standing on ice at edge of water where Huron River blends into Kent.Lake, They and most of the Canadas they were with flew off while I was walking to get my camera.  Geese with orange legs white forehead pinkish bill brown body with diagnostic black speckling on belly."
Sharp-shinned Hawk,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1620783275,,Sharp-shinned Hawk,"Continuing.  Small hawk, slightly smaller than a crow, swooped by our bird feeders and landed on the ground under an ewe evergreen bush that the small birds like to congregate. Could see gray back and wings, gray and black striped, square tail. When it didn't arouse any birds into flight it flew up to a tree branch were its small gray head, orange barred breast, white rump and yellow legs and feet were visible. After about 10 seconds it flew off into the woods to the west. Total sighting was approximately 25 seconds."
Glaucous Gull,herrings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1895019230,,Glaucous Gull,Likely the same first year bird reported from this morning. Huge white behemoth with light wingtips feeding and resting on the tarp. Larger than nearby herrings. Pics
Little Gull,bonies,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1872002824,,Little Gull,Mixed with bonies. Photo.
Trumpeter Swan,mute,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1930398488,,Trumpeter Swan,4 flew in honking others in open pond mixed groups  with mute.
Snow Goose,CAGOs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1608927771,,Snow Goose,"Continuing white goose with black tips, smaller than CAGOs it was with, ‘slimmer’ than domestic; as seen in farm field north side of Geddes between Brookside sub and Harris rd"
Fox Sparrow,Cooper,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1630967021,,Fox Sparrow,Pair foraging and zzt calling back and forth. Almost got caught by a Cooper’s right in front of my face
Brown-headed Cowbird,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1637431136,,Brown-headed Cowbird,"Sitting together in hedgerow. FOY, Well you take the good with bad as spring begins to appear on the horizon."
Song Sparrow,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1622749248,,Song Sparrow,"actual count, together on side of road"
Black Scoter,bufflehead,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1875504224,,Black Scoter,"Group of 4 similarly plumaged females east of pier. Viewed from 50m with binocs/scope. Upturned bill more prominent than those of nearby bufflehead, dark. Dark cap extending down nape. Whitish cheek area noticeable under cap. When they took flight, showed all dark, though lighter color cheek/face still distinguishable."
Little Gull,Bonaparte‚Äôs Gull,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1890738528,,Little Gull,Adult bird flying for about an hour with a group of Bonaparte’s Gulls over the marshes on the eastern side of Anchor Bay.  Slightly smaller than the BOGU; rounded wings with dark black underwings and pale upper wings with no leading white edge and no black primary tip on upper wing.  Bird about half-mile out so scope views required but views clear.  No photos obtained.  Also seen by 3 other observers before view obscured by snow squall then could not be re-found.
Common Grackle,robins,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1639635466,,Common Grackle,A black iridescent bird with a long tail and yellow eyes. It was thrashing through the leaves along with the robins.  I took a photo.
Surf Scoter,WWSC,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1944601421,,Surf Scoter,"mig with group of WWSC, ph--Dark-winged scoter with chunky, longish head and bill, and the appearance of opague remiges in bright sunlight."
Trumpeter Swan,"Mutes, Tundras",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1898928656,,Trumpeter Swan,"Resting on bank at Thorrington Lake.  Long Sloping black bill, pointed forehead, able to distinguish between Mutes, and the Tundras nearby by bill comparisons."
Brant,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1873989963,,Brant,"Seen with mallards, just off the sidewalk area with railings. Smaller goose with white rump and white marking on bill.."
Sharp-shinned Hawk,mourning dove,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1618234512,,Sharp-shinned Hawk,"Mature male caught a mourning dove, dove is almost the same size as the hawk as seen in the not great pic."
Lesser Black-backed Gull,Herring Gulls,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1643564638,,Lesser Black-backed Gull,Was hanging around a group of adult Herring Gulls but had noticeably darker back as well as yellow legs
White-crowned Sparrow,tree sparrows,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1635642758,,White-crowned Sparrow,First year male appearing with tree sparrows
Long-tailed Duck,Golden Eyes,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1599414483,,Long-tailed Duck,"Continuing. Viewed through scope, from great distance, seemingly near Grand pointe Park. Moved from Nottingham Park, to attempt better views and it was absent from the group of Golden Eyes that it had been swimming with (hence no photo, or a very poor one possibly later)."
Hooded Merganser,"common goldeneye, American black duck",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1932062392,,Hooded Merganser,One male two female in a big group of common goldeneye and American black duck
Golden Eagle,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1871381199,,Golden Eagle,Soaring together. Noticeable dihedral.
